# relojes.py 2026-09-13T15:25:20-05:00 sha256 c1a1431a00600481ec60da7c30896c65e9041f83086ab0f8109d3cb09029034b
# FREF 12 MHz; REFDIV 1-63; FBDIV 16-320; VCO 750-1600 MHz; POSTDIV1 y POSTDIV2 1-7. Divisor PIO entero 16 bits + fraccion/256; divisor GPOUT0 entero 24 bits + fraccion/256. Tiempos en ns en regimen estable, sin el jitter del PLL.
camino,refdiv,fbdiv,vco_hz,postdiv1,postdiv2,sysclk_hz,divisor,div_int,div_frac,divisor_entero,cumple_ref_min_5mhz,cumple_sysclk_max_133mhz,postdiv1_mayor_o_igual,periodo_sm_pp_ns,mclk_periodo_pp_ns,mclk_tie_pp_ns,duty_min,duty_max,pulso_min_ns,requiere_dc50,cumple_pcm1808
gpout0,1,63,756000000,1,1,756000000,61.5234375,61,134,False,True,False,True,,1.3227513227513228,,,,,,
gpout0,1,63,756000000,1,2,378000000,30.76171875,30,195,False,True,False,False,,2.6455026455026456,,,,,,
gpout0,1,63,756000000,1,3,252000000,20.5078125,20,130,False,True,False,False,,3.9682539682539684,,,,,,
gpout0,1,63,756000000,1,5,151200000,12.3046875,12,78,False,True,False,False,,6.613756613756614,,,,,,
gpout0,1,63,756000000,1,6,126000000,10.25390625,10,65,False,True,True,False,,7.936507936507937,,,,,,
gpout0,1,63,756000000,1,7,108000000,8.7890625,8,202,False,True,True,False,,9.25925925925926,,,,,,
gpout0,1,63,756000000,2,1,378000000,30.76171875,30,195,False,True,False,True,,2.6455026455026456,,,,,,
gpout0,1,63,756000000,2,3,126000000,10.25390625,10,65,False,True,True,False,,7.936507936507937,,,,,,
gpout0,1,63,756000000,2,5,75600000,6.15234375,6,39,False,True,True,False,,13.227513227513228,,,,,,
gpout0,1,63,756000000,2,7,54000000,4.39453125,4,101,False,True,True,False,,18.51851851851852,,,,,,
gpout0,1,63,756000000,3,1,252000000,20.5078125,20,130,False,True,False,True,,3.9682539682539684,,,,,,
gpout0,1,63,756000000,3,2,126000000,10.25390625,10,65,False,True,True,True,,7.936507936507937,,,,,,
gpout0,1,63,756000000,3,3,84000000,6.8359375,6,214,False,True,True,True,,11.904761904761905,,,,,,
gpout0,1,63,756000000,3,5,50400000,4.1015625,4,26,False,True,True,False,,19.841269841269842,,,,,,
gpout0,1,63,756000000,3,6,42000000,3.41796875,3,107,False,True,True,False,,23.80952380952381,,,,,,
gpout0,1,63,756000000,3,7,36000000,2.9296875,2,238,False,True,True,False,,27.77777777777778,,,,,,
gpout0,1,63,756000000,5,1,151200000,12.3046875,12,78,False,True,False,True,,6.613756613756614,,,,,,
gpout0,1,63,756000000,5,2,75600000,6.15234375,6,39,False,True,True,True,,13.227513227513228,,,,,,
gpout0,1,63,756000000,5,3,50400000,4.1015625,4,26,False,True,True,True,,19.841269841269842,,,,,,
gpout0,1,63,756000000,5,5,30240000,2.4609375,2,118,False,True,True,True,,33.06878306878307,,,,,,
gpout0,1,63,756000000,5,6,25200000,2.05078125,2,13,False,True,True,False,,39.682539682539684,,,,,,
gpout0,1,63,756000000,6,1,126000000,10.25390625,10,65,False,True,True,True,,7.936507936507937,,,,,,
