frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
1,-0.0692099732,-0.0692094705,-5.10546312,-5.10546296
1.02329299,-0.0692099416,-0.0692094153,-5.10546373,-5.10546357
1.04712855,-0.0692099086,-0.0692093575,-5.10546438,-5.1054642
1.07151931,-0.0692098741,-0.0692092969,-5.10546505,-5.10546487
1.0964782,-0.0692098378,-0.0692092335,-5.10546575,-5.10546556
1.12201845,-0.0692097999,-0.0692091671,-5.10546649,-5.10546629
1.14815362,-0.0692097602,-0.0692090976,-5.10546726,-5.10546706
1.17489755,-0.0692097187,-0.0692090248,-5.10546807,-5.10546785
1.20226443,-0.0692096752,-0.0692089486,-5.10546892,-5.10546869
1.23026877,-0.0692096296,-0.0692088688,-5.10546981,-5.10546957
1.25892541,-0.0692095819,-0.0692087852,-5.10547073,-5.10547048
1.28824955,-0.0692095319,-0.0692086977,-5.10547171,-5.10547145
1.31825674,-0.0692094796,-0.069208606,-5.10547273,-5.10547245
1.34896288,-0.0692094248,-0.0692085101,-5.10547379,-5.1054735
1.38038426,-0.0692093674,-0.0692084096,-5.10547491,-5.10547461
1.41253754,-0.0692093073,-0.0692083044,-5.10547608,-5.10547576
1.44543977,-0.0692092444,-0.0692081942,-5.1054773,-5.10547697
1.47910839,-0.0692091785,-0.0692080788,-5.10547858,-5.10547824
1.51356125,-0.0692091096,-0.069207958,-5.10547993,-5.10547956
1.54881662,-0.0692090373,-0.0692078315,-5.10548133,-5.10548095
1.58489319,-0.0692089617,-0.0692076991,-5.1054828,-5.10548241
1.6218101,-0.0692088825,-0.0692075603,-5.10548434,-5.10548393
1.65958691,-0.0692087996,-0.0692074151,-5.10548596,-5.10548552
1.69824365,-0.0692087127,-0.069207263,-5.10548765,-5.10548719
1.73780083,-0.0692086218,-0.0692071038,-5.10548942,-5.10548894
1.77827941,-0.0692085266,-0.069206937,-5.10549127,-5.10549077
1.81970086,-0.0692084269,-0.0692067624,-5.10549321,-5.10549269
1.86208714,-0.0692083224,-0.0692065795,-5.10549524,-5.10549469
1.90546072,-0.0692082131,-0.0692063881,-5.10549737,-5.1054968
1.9498446,-0.0692080986,-0.0692061876,-5.1054996,-5.105499
1.99526231,-0.0692079788,-0.0692059776,-5.10550193,-5.1055013
2.04173794,-0.0692078532,-0.0692057578,-5.10550437,-5.10550371
2.08929613,-0.0692077218,-0.0692055276,-5.10550693,-5.10550624
2.13796209,-0.0692075842,-0.0692052866,-5.10550961,-5.10550889
2.18776162,-0.0692074401,-0.0692050342,-5.10551241,-5.10551166
2.23872114,-0.0692072891,-0.0692047699,-5.10551535,-5.10551456
2.29086765,-0.0692071311,-0.0692044931,-5.10551842,-5.10551759
2.34422882,-0.0692069656,-0.0692042033,-5.10552164,-5.10552078
2.39883292,-0.0692067924,-0.0692038999,-5.10552501,-5.10552411
2.45470892,-0.0692066109,-0.0692035821,-5.10552854,-5.10552759
2.51188643,-0.069206421,-0.0692032494,-5.10553224,-5.10553125
2.57039578,-0.069206222,-0.069202901,-5.10553611,-5.10553507
2.63026799,-0.0692060137,-0.0692025361,-5.10554017,-5.10553907
2.6915348,-0.0692057956,-0.0692021541,-5.10554441,-5.10554327
2.7542287,-0.0692055671,-0.0692017541,-5.10554885,-5.10554766
2.81838293,-0.069205328,-0.0692013352,-5.10555351,-5.10555226
2.8840315,-0.0692050775,-0.0692008965,-5.10555838,-5.10555707
2.95120923,-0.0692048153,-0.0692004373,-5.10556348,-5.10556211
3.01995172,-0.0692045406,-0.0691999563,-5.10556883,-5.10556739
3.09029543,-0.0692042531,-0.0691994527,-5.10557442,-5.10557292
3.16227766,-0.069203952,-0.0691989254,-5.10558028,-5.10557871
3.23593657,-0.0692036367,-0.0691983732,-5.10558642,-5.10558477
3.31131121,-0.0692033065,-0.0691977949,-5.10559284,-5.10559111
3.38844156,-0.0692029608,-0.0691971895,-5.10559957,-5.10559776
3.4673685,-0.0692025988,-0.0691965554,-5.10560661,-5.10560472
3.54813389,-0.0692022197,-0.0691958916,-5.10561399,-5.105612
3.63078055,-0.0692018228,-0.0691951964,-5.10562171,-5.10561963
3.71535229,-0.0692014071,-0.0691944684,-5.1056298,-5.10562762
3.80189396,-0.0692009719,-0.0691937062,-5.10563827,-5.10563599
3.89045145,-0.0692005161,-0.069192908,-5.10564714,-5.10564475
3.98107171,-0.0692000389,-0.0691920722,-5.10565642,-5.10565392
4.07380278,-0.0691995392,-0.0691911971,-5.10566615,-5.10566353
4.16869383,-0.0691990159,-0.0691902806,-5.10567633,-5.10567359
4.26579519,-0.069198468,-0.069189321,-5.10568699,-5.10568412
4.36515832,-0.0691978942,-0.0691883162,-5.10569815,-5.10569515
4.46683592,-0.0691972935,-0.069187264,-5.10570984,-5.1057067
4.5708819,-0.0691966643,-0.0691861622,-5.10572208,-5.10571879
4.67735141,-0.0691960056,-0.0691850085,-5.1057349,-5.10573145
4.78630092,-0.0691953158,-0.0691838004,-5.10574832,-5.10574471
4.89778819,-0.0691945935,-0.0691825354,-5.10576238,-5.1057586
5.01187234,-0.0691938371,-0.0691812108,-5.10577709,-5.10577313
5.12861384,-0.0691930451,-0.0691798237,-5.1057925,-5.10578836
5.2480746,-0.0691922158,-0.0691783713,-5.10580864,-5.1058043
5.37031796,-0.0691913474,-0.0691768504,-5.10582554,-5.10582099
5.49540874,-0.069190438,-0.0691752579,-5.10584323,-5.10583847
5.62341325,-0.0691894859,-0.0691735902,-5.10586176,-5.10585677
5.75439937,-0.0691884888,-0.069171844,-5.10588116,-5.10587594
5.88843655,-0.0691874447,-0.0691700155,-5.10590147,-5.105896
6.02559586,-0.0691863515,-0.0691681008,-5.10592274,-5.10591702
6.16595002,-0.0691852067,-0.0691660959,-5.10594501,-5.10593902
6.30957344,-0.0691840079,-0.0691639965,-5.10596834,-5.10596206
6.45654229,-0.0691827527,-0.0691617982,-5.10599276,-5.10598619
6.60693448,-0.0691814383,-0.0691594962,-5.10601833,-5.10601145
