tiempo_s,entrada_v,entrada_pcm1808_v,riel_positivo_v,riel_negativo_v,entrada_no_inversora_v,salida_etapa_a_v,salida_etapa_b_v
0,0,0,8.9657501,-8.96574855,-3.90133279e-05,-0.000308051572,-0.000297254453
5e-08,0.00047123889,1.35650671e-06,8.9657501,-8.96574855,0.000432225327,-8.32059604e-07,-0.000295897946
5.03641445e-08,0.000474670871,1.40679813e-06,8.9657501,-8.96574855,0.000435657306,1.42179818e-06,-0.000295847654
5.10924335e-08,0.000481534833,1.31739115e-06,8.9657501,-8.96574855,0.000442521264,5.96256731e-06,-0.000295937061
5.25490115e-08,0.000495262757,1.43660043e-06,8.9657501,-8.96574855,0.000456249181,1.52450986e-05,-0.000295817852
5.54621676e-08,0.000522718604,1.5111062e-06,8.9657501,-8.96574855,0.000483705013,3.46392094e-05,-0.000295743346
6.12884796e-08,0.000577630298,1.69737064e-06,8.9657501,-8.96574855,0.000538616675,7.69176719e-05,-0.000295557082
7.29411038e-08,0.000687453683,2.15185589e-06,8.9657501,-8.96574855,0.000648439987,0.000176486319,-0.000295102596
9.62463521e-08,0.000907100443,3.44825642e-06,8.9657501,-8.96574855,0.00086808656,0.000440425014,-0.000293806195
1.42856849e-07,0.0013463939,8.8173289e-06,8.9657501,-8.96574855,0.00130737949,0.00123686824,-0.000288437121
2.03228648e-07,0.00191538436,2.53706485e-05,8.9657501,-8.96574855,0.00187636897,0.00278308032,-0.000271883793
2.81655054e-07,0.00265453496,7.41491045e-05,8.9657501,-8.96574855,0.00261551777,0.00557270932,-0.000223105308
3.58307978e-07,0.00337697028,0.000164014213,8.9657501,-8.96574855,0.00333795079,0.00904558734,-0.00013324013
4.40995245e-07,0.00415627695,0.000321319799,8.9657501,-8.96574855,0.00411725434,0.0134974101,2.40656082e-05
5.35150052e-07,0.00504366091,0.000591345278,8.9657501,-8.96574855,0.00500463397,0.0193207551,0.000294091413
6.71649335e-07,0.00633012706,0.00118234898,8.9657501,-8.96574855,0.00629109236,0.0289170892,0.000885096029
8.38345213e-07,0.00790118095,0.00226322581,8.9657501,-8.96574856,0.00786213438,0.0420791986,0.00196597504
1.10901161e-06,0.0104521036,0.00494694666,8.9657501,-8.96574856,0.0104130322,0.0657576725,0.00464970327
1.46886107e-06,0.0138434929,0.0103915842,8.9657501,-8.96574858,0.0138043778,0.0999618936,0.0100943617
1.88702882e-06,0.017784411,0.019433018,8.9657501,-8.9657486,0.0177452297,0.141731028,0.0191358428
2.40086931e-06,0.0226268019,0.0343767395,8.9657501,-8.96574864,0.0225875169,0.194321488,0.034079669
3.0603041e-06,0.0288409093,0.05922913,8.9657501,-8.96574869,0.0288014545,0.262525052,0.0589322933
3.9926731e-06,0.0376261105,0.103835422,8.9657501,-8.96574879,0.0375863459,0.359275695,0.103539161
5.4022606e-06,0.0509053302,0.188353367,8.9657501,-8.96574898,0.0508649416,0.505572953,0.188058666
7.39908917e-06,0.0697096555,0.334206661,8.9657501,-8.96574929,0.0696680628,0.712650249,0.333915912
9.95449406e-06,0.0937577384,0.550623264,8.9657501,-8.96574976,0.0937140571,0.977363602,0.550341081
1.2998492e-05,0.122371752,0.834184109,8.9657501,-8.96575036,0.122324781,1.29224746,0.833917892
1.66139449e-05,0.156298517,1.18979439,8.9657501,-8.96575112,0.156246509,1.66553459,1.18955589
2.10874455e-05,0.1981635,1.64210335,8.96575009,-8.96575208,0.198103564,2.12613238,1.64191284
2.60874455e-05,0.244768893,2.15297202,8.96575009,-8.96575316,0.244697885,2.63888447,2.15285338
3.10874455e-05,0.291132729,2.66416431,8.96575009,-8.96575424,0.291048326,3.14899745,2.66413691
3.60874455e-05,0.337209252,3.17343971,8.96575009,-8.96575532,0.337109143,3.65597316,3.17352287
4.10874455e-05,0.38295299,3.67976806,8.96575009,-8.9657564,0.38283488,4.15931427,3.67998102
4.60874455e-05,0.4283188,4.18248956,8.96575008,-8.96575746,0.428180413,4.65852405,4.18285142
5.10874455e-05,0.47326191,4.68105937,8.96575008,-8.96575852,0.473100989,5.15311046,4.6815891
5.60874455e-05,0.517737969,5.17497075,8.96575008,-8.96575957,0.51755228,5.6425852,5.17568715
6.10874455e-05,0.561703082,5.66373179,8.96575008,-8.9657606,0.561490415,6.12646543,5.66465347
