frecuencia_hz,partida_g1_db,partida_g1_fase_grados,partida_g3_db,partida_g3_fase_grados,partida_g5_db,partida_g5_fase_grados,partida_g8_db,partida_g8_fase_grados,partida_g11_db,partida_g11_fase_grados,simple_g1_db,simple_g1_fase_grados,simple_g3_db,simple_g3_fase_grados,simple_g5_db,simple_g5_fase_grados,simple_g8_db,simple_g8_fase_grados,simple_g11_db,simple_g11_fase_grados
1,-9.38035346,108.184741,0.161987232,108.184708,4.59888651,108.184674,8.68117259,108.184625,11.447113,108.184575,-6.5639762,87.074921,-5.81615779,102.316039,-4.67380081,114.524596,-2.76321,127.421585,-0.959434464,135.789899
1.04712855,-8.86484459,105.68282,0.677496111,105.682785,5.11439539,105.68275,9.19668147,105.682698,11.9626219,105.682646,-6.20847236,84.5172407,-5.40295934,100.352054,-4.18628497,112.837447,-2.18669351,125.777425,-0.327744822,134.034168
1.0964782,-8.3661283,103.150407,1.1762124,103.150371,5.61311168,103.150335,9.69539776,103.15028,12.4613381,103.150225,-5.86952428,81.980115,-5.00188387,98.4213,-3.7076458,111.169552,-1.61863137,124.126282,0.293949399,132.257632
1.14815362,-7.88457617,100.592059,1.65776453,100.592021,6.09466381,100.591983,10.1769499,100.591926,12.9428903,100.591868,-5.5469034,79.4676574,-4.61245893,96.5268069,-3.23753011,109.521967,-1.0590289,122.469029,0.905493078,130.462275
1.20226443,-7.42050109,98.0125719,2.12183961,98.0125319,6.55873888,98.012492,10.641025,98.012432,13.4069654,98.0123721,-5.24033186,76.9838492,-4.23416509,94.6712928,-2.77557296,107.895465,-0.507880734,120.806521,1.50676445,128.650132
1.25892541,-6.97415273,95.4169429,2.56818796,95.416901,7.00508724,95.4168592,11.0873733,95.4167964,13.8533137,95.4167336,-4.94948488,74.5325111,-3.86644125,92.8571245,-2.32140316,106.290531,0.034829347,119.139586,2.09767567,126.823256
1.31825674,-6.54571381,92.8103248,2.99662689,92.8102809,7.43352617,92.8102371,11.5158122,92.8101714,14.2817526,92.8101056,-4.67399354,72.1172756,-3.50869058,91.0862848,-1.87464879,104.707362,0.569128361,117.469018,2.67817265,124.983688
1.38038426,-6.13529731,90.1979773,3.40704339,90.1979314,7.84394266,90.1978855,11.9262287,90.1978167,14.6921691,90.1977478,-4.41344798,69.7415629,-3.16028727,89.3603432,-1.43494257,103.145871,1.09505387,115.795563,3.24823424,123.133428
1.44543977,-5.74294481,87.5852164,3.79939589,87.5851683,8.23629516,87.5851202,12.3185812,87.5850482,15.0845216,87.5849761,-4.16740103,67.4085582,-2.82058394,87.6804329,-1.00192709,101.605694,1.61265345,114.119915,3.80787065,121.27441
1.51356125,-5.36862578,84.9773618,4.17371491,84.9773115,8.61061419,84.9772612,12.6929003,84.9771857,15.4588407,84.9771102,-3.93537218,65.1211928,-2.48891952,86.047233,-0.575259679,100.08621,2.12198388,112.442703,4.3571213,119.408468
1.58489319,-5.0122381,82.3796854,4.5301026,82.3796327,8.96700188,82.37958,13.049288,82.379501,15.8152283,82.3794219,-3.71685171,62.8821284,-2.16462761,84.4609587,-0.154616898,98.5865487,2.62311,110.764482,4.89605199,117.53732
1.65958691,-4.67360957,79.7973593,4.86873113,79.7973041,9.3056304,79.7972489,13.3879165,79.7971662,16.1538569,79.7970834,-3.51130515,60.6937445,-1.84704506,82.9213581,0.260301396,97.1056205,3.11610323,109.085722,5.42475168,115.662544
1.73780083,-4.35250059,77.2354075,5.18984011,77.2353497,9.62673939,77.2352919,13.7090255,77.2352053,16.4749659,77.2351186,-3.31817775,58.5581295,-1.53552067,81.4277164,0.669768538,95.6421332,3.60103986,107.406806,5.94332879,113.785562
1.81970086,-4.04860767,74.6986602,5.49373302,74.6985997,9.9306323,74.6985392,14.0129184,74.6984485,16.7788588,74.6983577,-3.13689907,56.4770751,-1.22942373,79.978869,1.07402806,94.1946208,4.07799903,105.728019,6.45190721,111.907627
1.90546072,-3.76156793,72.1917125,5.78077276,72.1916492,10.217672,72.1915858,14.2999581,72.1914908,17.0658985,72.1913958,-2.96688746,54.4520746,-0.928152393,78.5732209,1.47329128,92.7614692,4.54706049,104.049546,6.9506221,110.029816
1.99526231,-3.4909642,69.7188881,6.05137649,69.7188217,10.4882758,69.7187554,14.5705619,69.7186559,17.3365022,69.7185564,-2.8075545,52.4843239,-0.6311415,77.2087752,1.86773541,91.3409451,5.00830226,102.371472,7.43961569,108.153025
2.08929613,-3.23633081,67.2842084,6.30600988,67.284139,10.7429092,67.2840695,14.8251952,67.2839653,17.5911356,67.2838611,-2.65830925,50.5747263,-0.337869823,75.8831667,2.25750231,89.9312236,5.46179819,100.693782,7.91903295,106.277972
2.18776162,-2.99715975,64.8913686,6.54518094,64.8912959,10.9820802,64.8912231,15.0643663,64.891114,17.8303067,64.8910049,-2.51856231,48.7238994,-0.0478665061,74.5937034,2.64269761,88.5304173,5.9076155,99.0163644,8.38901753,104.405198
2.29086765,-2.77290711,62.5437181,6.76943359,62.543642,11.2063329,62.5435658,15.2886189,62.5434516,18.0545593,62.5433373,-2.38772951,46.9321845,0.239283416,73.3374123,3.02339048,87.1366041,6.34581236,97.3390194,8.84970781,102.535078
2.39883292,-2.56299962,60.2442492,6.97934108,60.2441694,11.4162404,60.2440897,15.4985264,60.24397,18.2644668,60.2438504,-2.26523548,45.1996586,0.523934528,72.1110895,3.39961373,85.7478546,6.77643566,95.6614668,9.30123327,100.667834
2.51188643,-2.3668412,57.9955898,7.1754995,57.9955063,11.6123988,57.9954228,15.6946849,57.9952975,18.4606252,57.9951723,-2.15051676,43.5261478,0.806377661,70.9113545,3.77136438,84.362258,7.19951889,93.9833582,9.74371119,98.8035483
2.63026799,-2.1838193,55.8000034,7.3585214,55.7999159,11.7954207,55.7998285,15.8777068,55.7996973,18.6436471,55.7995662,-2.04302468,41.9112414,1.08683766,69.7347048,4.13860457,82.9779481,7.61508035,92.3042904,10.1772438,96.9421814
2.7542287,-2.01331096,53.6593929,7.52902973,53.6593013,11.965929,53.6592097,16.0482151,53.6590724,18.8141555,53.658935,-1.94222788,40.3543085,1.36547235,68.5775729,4.5012628,81.5931266,8.02312155,90.6238216,10.6019158,95.0835946
2.8840315,-1.85468856,51.5753098,7.68765214,51.5752139,12.1245514,51.575118,16.2068375,51.5749742,18.9727779,51.5748304,-1.84761449,38.8545138,1.64237261,67.4363824,4.85923546,80.206086,8.42362603,88.9414886,11.0177926,93.2275709
3.01995172,-1.70732498,49.548967,7.83501572,49.5488666,12.271915,49.5487662,16.3542011,49.5486156,19.1201415,49.548465,-1.75869416,37.410835,1.91756358,66.3076021,5.21238868,78.8152314,8.81655855,87.2568256,11.4249185,91.3738392
3.16227766,-1.57059842,47.5812551,7.97174227,47.58115,12.4086415,47.5810448,16.4909276,47.5808871,19.256868,47.5807294,-1.67499958,36.0220797,2.19100692,65.1877987,5.56056033,77.4190999,9.20186465,85.5693843,11.8233162,89.5220988
3.31131121,-1.44389659,45.6727608,8.0984441,45.6726507,12.5353434,45.6725406,16.6176295,45.6723755,19.3835699,45.6722103,-1.59608799,34.6869033,2.46260402,64.0736854,5.90356235,76.0163798,9.57947061,83.8787541,12.2129863,87.6720445
3.4673685,-1.32662033,43.8237879,8.21572037,43.8236727,12.6526196,43.8235574,16.7349057,43.8233845,19.5008461,43.8232115,-1.52154226,33.4038261,2.73219997,62.9621674,6.2411833,74.6059278,9.94928397,82.1845828,12.5939073,85.8233926
3.63078055,-1.21818671,42.0343794,8.32415398,42.0342586,12.7610533,42.0341379,16.8433393,42.0339569,19.6092797,42.0337758,-1.45097187,32.1712513,2.99958846,61.8503823,6.5731911,73.1867848,10.3111944,80.4865975,12.9660366,83.9759049
3.80189396,-1.11803165,40.3043398,8.42430905,40.3042134,12.8612083,40.304087,16.9434944,40.3038974,19.7094348,40.3037078,-1.38401359,30.9874818,3.2645171,60.7357357,6.899336,71.7581905,10.665075,78.784624,13.3293116,82.1294135
3.98107171,-1.02561187,38.633259,8.51672883,38.6331266,12.9536281,38.6329943,17.0359142,38.6327957,19.8018546,38.6325972,-1.32033207,29.8507384,3.52669341,59.6159313,7.21935385,70.3195959,11.0107841,77.0786065,13.6836513,80.2838432
