frecuencia_hz,al_aire_g1_nv_raiz_hz,guitarra_300pf_g1_nv_raiz_hz,guitarra_600pf_g1_nv_raiz_hz,al_aire_g11_nv_raiz_hz,guitarra_300pf_g11_nv_raiz_hz,guitarra_600pf_g11_nv_raiz_hz
1,920.685995,919.249019,919.24902,7226.96209,7204.79463,7204.79464
1.04712855,924.37218,922.760609,922.76061,7257.81145,7232.955,7232.955
1.0964782,927.121391,925.319205,925.319206,7281.39496,7253.60345,7253.60346
1.14815362,928.915213,926.905798,926.905798,7297.56645,7266.58485,7266.58486
1.20226443,929.742129,927.508388,927.508389,7306.2335,7271.7995,7271.79951
1.25892541,929.597766,927.122245,927.122246,7307.35937,7269.20528,7269.2053
1.31825674,928.48498,925.750004,925.750005,7300.96371,7258.81865,7258.81866
1.38038426,926.4138,923.401618,923.401619,7287.12218,7240.71428,7240.7143
1.44543977,923.401215,920.094155,920.094156,7265.96484,7215.02363,7215.02365
1.51356125,919.47083,915.851448,915.85145,7237.67347,7181.93223,7181.93225
1.58489319,914.652386,910.703619,910.703621,7202.47791,7141.67598,7141.67601
1.65958691,908.98118,904.686486,904.686488,7160.65157,7094.53653,7094.53656
1.73780083,902.497398,897.840886,897.840888,7112.5062,7040.83592,7040.83595
1.81970086,895.245384,890.21193,890.211933,7058.38625,6980.93064,6980.93068
1.90546072,887.272876,881.848219,881.848222,6998.66291,6915.20545,6915.2055
1.99526231,878.630225,872.801046,872.801049,6933.72803,6844.06695,6844.067
2.08929613,869.369631,863.123603,863.123607,6863.98817,6767.93726,6767.93732
2.18776162,859.5444,852.870224,852.870228,6789.85875,6687.24794,6687.248
2.29086765,849.208252,842.095665,842.095669,6711.7587,6602.43417,6602.43424
2.39883292,838.414687,830.854452,830.854457,6630.10549,6513.92956,6513.92963
2.51188643,827.216421,819.200297,819.200303,6545.31065,6422.16132,6422.1614
2.63026799,815.664889,807.185585,807.185591,6457.77597,6327.54621,6327.5463
2.7542287,803.809831,794.860945,794.860952,6367.89018,6230.48705,6230.48715
2.8840315,791.698954,782.2749,782.274907,6276.0263,6131.36983,6131.36993
3.01995172,779.377662,769.473587,769.473595,6182.53953,6030.56149,6030.5616
3.16227766,766.888856,756.500559,756.500567,6087.76568,5928.40826,5928.40838
3.31131121,754.272802,743.396638,743.396647,5992.02006,5825.23455,5825.23468
3.4673685,741.56705,730.199843,730.199852,5895.59688,5721.34227,5721.3424
3.63078055,728.806402,716.945353,716.945363,5798.76897,5617.01058,5617.01073
3.80189396,716.022928,703.665528,703.665538,5701.78785,5512.49606,5512.49621
3.98107171,703.246006,690.389957,690.389967,5604.8841,5408.03307,5408.03323
4.16869383,690.502404,677.145536,677.145547,5508.26791,5303.83444,5303.83461
4.36515832,677.816374,663.956579,663.95659,5412.12982,5200.09229,5200.09247
4.5708819,665.209767,650.844929,650.844942,5316.64163,5096.97903,5096.97922
4.78630092,652.702159,637.830101,637.830114,5221.95735,4994.64841,4994.64861
