tiempo_s,entrada_v,entrada_pcm1808_v,riel_positivo_v,riel_negativo_v,entrada_no_inversora_v,salida_etapa_a_v,salida_etapa_b_v
0,0,0,8.98236421,0,4.49114584,4.49115716,4.49116797
5e-08,0.00047123889,1.35667589e-06,8.98236421,0,4.49161708,4.49146438,4.49116932
5.66570682e-08,0.000533980277,1.5652815e-06,8.98236421,0,4.49167982,4.49151128,4.49116953
6.99712047e-08,0.000659463047,2.04578677e-06,8.98236421,0,4.4918053,4.49161794,4.49117001
9.65994777e-08,0.000910428573,3.51763957e-06,8.98236421,0,4.49205627,4.49191415,4.49117149
1.49856024e-07,0.00141235954,1.0238615e-05,8.98236421,0,4.4925582,4.49285514,4.49117821
2.04245615e-07,0.00192496905,2.58708891e-05,8.98236421,0,4.49307081,4.49428236,4.49119384
3.03842419e-07,0.0028636456,9.63082251e-05,8.98236421,0,4.49400948,4.49796754,4.49126428
5.03036027e-07,0.00474099497,0.000497289852,8.98236421,0,4.49588682,4.5086265,4.49166526
7.16898701e-07,0.00675658823,0.00144548819,8.98236421,0,4.49790241,4.52370447,4.49261346
9.9873846e-07,0.00941282645,0.00371746433,8.98236421,0,4.50055862,4.54718684,4.49488544
1.29292418e-06,0.0121853892,0.00745908475,8.98236421,0,4.50333115,4.57437482,4.49862707
1.68523145e-06,0.0158826354,0.0147072464,8.98236421,0,4.50702834,4.61284109,4.50587527
2.12798078e-06,0.0200551488,0.0259287832,8.98236421,0,4.51120078,4.65774571,4.51709687
2.74124805e-06,0.0258343768,0.0464429691,8.98236421,0,4.51697986,4.72092956,4.53761123
3.50391523e-06,0.0330209554,0.0791706191,8.98236421,0,4.52416622,4.79999574,4.57033924
4.68836391e-06,0.0441803985,0.143249274,8.98236421,0,4.5353252,4.9229271,4.63441889
6.50611861e-06,0.0613016464,0.265741036,8.98236421,0,4.55244549,5.11147644,4.75691347
9.1637827e-06,0.0863189048,0.480599901,8.98236421,0,4.57746079,5.38682167,4.97177985
1.18967291e-05,0.112019644,0.729078515,8.98236421,0,4.60315882,5.66956395,5.22027099
1.54219725e-05,0.145121316,1.07079141,8.98236421,0,4.63625596,6.03360868,5.56200791
1.93952574e-05,0.182343885,1.46970767,8.98236421,0,4.67347202,6.4428767,5.96096241
2.43952574e-05,0.229020623,1.97911117,8.98236422,0,4.72013848,6.95599198,6.47043123
2.62781825e-05,0.246542275,2.17166106,8.98236422,0,4.73765566,7.14852203,6.66301073
2.74974099e-05,0.257869602,2.29555895,8.98236437,0,4.74897991,7.26595572,6.78692924
2.81052983e-05,0.263511625,2.35563678,8.98236485,0,4.75462035,7.30323876,6.84701779
2.8717217e-05,0.269187172,2.41257851,8.98236593,0,4.76029427,7.32626934,6.90397057
2.93496925e-05,0.2750492,2.46664999,8.98236761,0,4.76615458,7.34217089,6.95805373
3.00497253e-05,0.281532307,2.52062797,8.98236998,0,4.77263574,7.35470645,7.01204494
3.14497908e-05,0.294482055,2.61145365,8.98237577,0,4.78558145,7.37156204,7.10289784
3.28153667e-05,0.30709085,2.68083651,8.98238228,0,4.79818614,7.38251574,7.17230807
3.38686288e-05,0.316800558,2.72362564,8.98238762,0,4.80789257,7.38892075,7.21511876
3.48505739e-05,0.325840327,2.7565526,8.98239278,0,4.81692918,7.3938425,7.2480661
3.57163118e-05,0.333800018,2.78069863,8.98239747,0,4.82488602,7.39756723,7.27223029
3.66907501e-05,0.342747285,2.80312792,8.98240297,0,4.83382999,7.40123296,7.2946802
3.80000693e-05,0.35474913,2.82647724,8.98241082,0,4.84582727,7.4054865,7.31805744
3.99267941e-05,0.372366518,2.85007176,8.98242339,0,4.86343766,7.41071839,7.34169338
4.16699348e-05,0.388258319,2.86394243,8.9824355,0,4.87932284,7.41468948,7.35560178
4.33409337e-05,0.403448724,2.87298868,8.98244729,0,4.89450663,7.41799333,7.36468434
4.61276254e-05,0.428681705,2.8826616,8.98246654,0,4.91972803,7.42268918,7.37441802
